ID_publikacji	Autor	Tytul	Wydawnictwo	Rok wydania	Format	Cena	ID_dziedziny
e1177	Wladyslaw Losiak	Natura stresu. Spojrzenie z perspektywy ewolucyjnej	Wydawnictwo Uniwersytetu Jagiellonskiego 	2007	epub	4.99	d07
e2073	Karol Rogowski	Swiat poza jQuery. Biblioteki: AngularJS, KnockoutJS, BackboneJS	Wydawnictwo Naukowe PWN 	2014	multiformat	27.99	d02
e1566	Maria Sierpinska, Tomasz Jachna	Metody podejmowania decyzji finansowych. Analiza przykladow i przypadkow	Wydawnictwo Naukowe PWN 	2008	epub	4.99	d01
e861	Marta Bluszcz	Symbolika stosowana w reklamach. Na przykladzie telewizyjnych reklam wyrobow czekoladowych	Wydawnictwo e-bookowo 	2008	pdf	6.99	d01
e577	Rafal Janus	Excel w praktyce, 9/14	Wiedza i Praktyka 	2014	epub	91.99	d02
a1630	Piotr Wronski	Czas nielegalow Krotki kurs kontrwywiadu dla amatorow 	Fronda 	2016	mp3	25.99	d03
e612	Rafal Janus	Excel w praktyce, 6/14. 	Wiedza i Praktyka 	2014	epub	4.99	d02
e1144	John Sharp	Microsoft Visual C# 2010 Krok po kroku. 	Promise 	2016	epub	75.99	d02
e1519	Anna Strzelec	Druga pora zycia. czyli jak zabija sie milosc	Wydawnictwo e-bookowo 	2010	pdf	6.99	d04
e126	Lukasz Grzadka, Marcin Rozanski	Box2D. Fizyczny swiat w pudelku	Wydawnictwo Naukowe PWN 	2014	epub	27.99	d02
e1551	Janusz Gajda	Antropologia kulturowa, cz. 2. Kultura obyczajowa poczatku XXI wieku	Oficyna Wydawnicza IMPULS 	2008	pdf	15.99	d07
a1506	Melchior Wankowicz	Opierzona rewolucja 	Heraclon 	2014	mp3	17.99	d03
e1297	Mikolaj Kopernik	O obrotach cial niebieskich. 	Biblioteka Analiz 	2009	pdf	9.99	d06
e147	Magdalena Dolhasz, Janusz Fudalinski, Malgorzata Kosala, Halina Smutek	Podstawy zarzadzania. Koncepcje - strategie - zastosowania	Wydawnictwo Naukowe PWN 	2009	epub	4.99	d01
e1591	Violetta Wroblewska	Bajka zwierzeca w tradycji ludowej i literackiej. 	Wydawnictwo Naukowe Uniwersytetu Mikolaja Kopernika 	2011	pdf	26.99	d05
e1605	Redakcja: Mariusz Jendra	Nowe Technologie IT w Ochronie Zdrowia 2 / 2013 TOM II. 	Oficyna Prawa Polskiego 	2013	pdf	50.99	d02
a180	Boleslaw Prus	Antek 	PROMATEK 	2011	mp3	14.99	d04
e179	Jan Chryzostom Pasek	Pamietniki. 	SMPB 	2008	epub	18.99	d04
e114	Marek Blicharski	Inzynieria powierzchni. 	Wydawnictwo WNT 	2012	epub	4.99	d06
e2103	Anthony Giddens	"Nowoczesnosc i tozsamosc. ""Ja"" i spoleczenstwo w epoce poznej nowoczesnosci"	Wydawnictwo Naukowe PWN 	2010	mobi	4.99	d07
e1920	Janusz Plisiecki	Film i sztuki tradycyjne. 	Wydawnictwo Uniwersytetu Marii Curie-Sklodowskiej 	2010	mobi	4.99	d05
e447	Jerzy Rutkowski	Algebra liniowa w zadaniach. 	Wydawnictwo Naukowe PWN 	2008	epub	4.99	d06
e634	Michael Halvorson	Microsoft Visual Basic 2010 Krok po kroku. 	Promise 	2016	epub	75.99	d02
e1747	Redakcja: Magda Heydel	O przekladzie audiowizualnym. Przekladaniec, nr 20. Przekladaniec, nr 20	Wydawnictwo Uniwersytetu Jagiellonskiego 	2009	mobi	4.99	d05
e1773	Aneta Michalak	Finansowanie inwestycji w teorii i praktyce. 	Wydawnictwo Naukowe PWN 	2007	pdf	4.99	d01
e196	Matt Baxter-Reynolds, Iris Classon	Programowanie aplikacji dla Sklepu Windows w C#. 	Promise 	2016	pdf	55.99	d02
a1940	Praca zbiorowa	Francuski w podrozy. 	LEKTORKLETT 	2009	mp3	18.99	d05
e1305	Beata Guziejewska	Zewnetrzne zrodla finansowania samorzadu terytorialnego. Teoria a praktyka	Wydawnictwo Uniwersytetu Lodzkiego 	2008	epub	4.99	d01
a630	Barbara Rybaltowska	Romanse w Paryzu 	Heraclon 	2015	mp3	17.99	d04
e1321	Waclaw Gasiorowski	Pigularz. 	Literatura Net Pl 	2000	pdf	5.99	d04
e1931	Stanislaw Maciej Kot	Ku stochastycznemu paradygmatowi ekonomii dobrobytu. 	Oficyna Wydawnicza IMPULS 	2012	pdf	18.99	d06
e1362	Leszek Moszynski	Wstep do filologii slowianskiej. 	Wydawnictwo Naukowe PWN 	2006	epub	4.99	d05
a1804	Nele Neuhaus	Przyjaciele po grob. 	Media Rodzina 	2014	mp3	27.99	d04
e2013	Marek Blicharski	Inzynieria materialowa Stal. 	Wydawnictwo WNT 	2012	mobi	4.99	d06
a374	Henryk Sienkiewicz	Rodzina Polanieckich. 	SMPB 	2010	mp3	18.99	d04
a1208	Malgorzata Gutowska-Adamczyk	Cukiernia Pod Amorem. Tom 2 Cieslakowie 	Nasza Ksiegarnia 	2011	mp3	22.99	d04
a1472	Henryk Sienkiewicz	Pan Wolodyjowski. 	SMPB 	2010	mp3	18.99	d04
e1373	Andrzej Palczewski	Rownania rozniczkowe zwyczajne. Teoria i metody numeryczne z wykorzystaniem komputerowego systemu obliczen symbolicznych	Wydawnictwo WNT 	2004	mobi	4.99	d06
e1329	Rafal Janus	Excel w praktyce, 11/14	Wiedza i Praktyka 	2014	pdf	91.99	d02
